institution,quality_of_education,quality_of_faculty,UniversityID
Harvard University,7,1,1
Massachusetts Institute of Technology,9,3,2
Stanford University,17,5,3
University of Cambridge,10,4,4
California Institute of Technology,2,7,5
Princeton University,8,2,6
University of Oxford,13,9,7
Yale University,14,12,8
Columbia University,23,10,9
"University of California, Berkeley",16,6,10
University of Chicago,15,8,11
Cornell University,21,14,12
University of Pennsylvania,31,24,13
University of Tokyo,32,31,14
Johns Hopkins University,34,20,15
Swiss Federal Institute of Technology in Zurich,26,11,16
Kyoto University,42,19,17
Weizmann Institute of Science,4,22,18
"University of California, Los Angeles",62,23,19
"University of California, San Diego",61,15,20
Rockefeller University,1,16,21
Hebrew University of Jerusalem,24,13,22
New York University,89,17,23
"University of California, San Francisco",101,21,24
University of Wisconsin–Madison,64,33,25
University of Illinois at Urbana–Champaign,82,18,26
Duke University,65,55,27
Imperial College London,84,35,28
University of Texas Southwestern Medical Center,19,32,29
University of Texas at Austin,101,27,30
University College London,35,45,31
Osaka University,77,44,32
Northwestern University,101,101,33
"University of Michigan, Ann Arbor",68,101,34
University of Toronto,101,34,35
University of North Carolina at Chapel Hill,101,56,36
Washington University in St. Louis,74,101,37
University of Utah,92,41,38
University of Washington - Seattle,101,40,39
"University of California, Santa Barbara",101,28,40
McGill University,70,54,41
"Purdue University, West Lafayette",95,49,42
Carnegie Mellon University,30,26,43
University of Southern California,101,63,44
"University of California, Davis",79,92,45
University of Colorado Boulder,83,48,46
"University of California, Irvine",101,38,47
University of Paris-Sud,48,25,48
"University of Minnesota, Twin Cities",101,85,49
University of Arizona,101,88,50
Technion – Israel Institute of Technology,45,36,51
"Ohio State University, Columbus",101,83,52
University of Rochester,41,101,53
École normale supérieure - Paris,3,77,54
University of Florida,101,96,55
Tel Aviv University,97,51,56
Rice University,28,94,57
Dartmouth College,27,101,58
Vanderbilt University,80,101,59
University of Edinburgh,71,43,60
École Polytechnique,47,101,61
Boston University,101,86,62
Pierre-and-Marie-Curie University,54,84,63
"Pennsylvania State University, University Park",101,101,64
University of Geneva,46,29,65
Brown University,49,65,66
University of British Columbia,101,93,67
"University of Maryland, College Park",85,50,68
Swiss Federal Institute of Technology in Lausanne,101,82,69
Karolinska Institute,51,42,70
University of Pittsburgh - Pittsburgh Campus,81,101,71
Rutgers University-New Brunswick,101,59,72
"Texas A&M University, College Station",101,46,73
Nagoya University,56,69,74
Seoul National University,101,101,75
University of Manchester,101,75,76
Sapienza University of Rome,101,30,77
Case Western Reserve University,33,101,78
Tohoku University,53,101,79
Arizona State University,101,70,80
Emory University,101,101,81
Ruprecht Karl University of Heidelberg,87,52,82
Ludwig Maximilian University of Munich,90,90,83
University of Virginia,101,101,84
Leiden University,88,76,85
Tufts University,60,101,86
Georgia Institute of Technology,101,101,87
University of Zurich,101,80,88
University of Helsinki,96,79,89
Technical University of Munich,52,101,90
University of Oslo,101,39,91
University of Queensland,101,101,92
University of Copenhagen,101,60,93
University of Sydney,101,101,94
Williams College,18,101,95
