country,year_,CountryID
USA,2012,1
USA,2012,2
USA,2012,3
United Kingdom,2012,4
USA,2012,5
USA,2012,6
United Kingdom,2012,7
USA,2012,8
USA,2012,9
USA,2012,10
USA,2012,11
USA,2012,12
USA,2012,13
Japan,2012,14
USA,2012,15
Switzerland,2012,16
Japan,2012,17
Israel,2012,18
USA,2012,19
USA,2012,20
USA,2012,21
Israel,2012,22
USA,2012,23
USA,2012,24
USA,2012,25
USA,2012,26
USA,2012,27
United Kingdom,2012,28
USA,2012,29
USA,2012,30
United Kingdom,2012,31
Japan,2012,32
USA,2012,33
USA,2012,34
Canada,2012,35
USA,2012,36
USA,2012,37
USA,2012,38
USA,2012,39
USA,2012,40
Canada,2012,41
USA,2012,42
USA,2012,43
USA,2012,44
USA,2012,45
USA,2012,46
USA,2012,47
France,2012,48
USA,2012,49
USA,2012,50
Israel,2012,51
USA,2012,52
USA,2012,53
France,2012,54
USA,2012,55
Israel,2012,56
USA,2012,57
USA,2012,58
USA,2012,59
United Kingdom,2012,60
France,2012,61
USA,2012,62
France,2012,63
USA,2012,64
Switzerland,2012,65
USA,2012,66
Canada,2012,67
USA,2012,68
Switzerland,2012,69
Sweden,2012,70
USA,2012,71
USA,2012,72
USA,2012,73
Japan,2012,74
South Korea,2012,75
United Kingdom,2012,76
Italy,2012,77
USA,2012,78
Japan,2012,79
USA,2012,80
USA,2012,81
Germany,2012,82
Germany,2012,83
USA,2012,84
Netherlands,2012,85
USA,2012,86
USA,2012,87
Switzerland,2012,88
Finland,2012,89
Germany,2012,90
Norway,2012,91
Australia,2012,92
Denmark,2012,93
Australia,2012,94
USA,2012,95
USA,2012,96
United Kingdom,2012,97
United Kingdom,2012,98
Netherlands,2012,99
France,2012,100
USA,2013,101
USA,2013,102
United Kingdom,2013,103
USA,2013,104
United Kingdom,2013,105
USA,2013,106
USA,2013,107
USA,2013,108
USA,2013,109
USA,2013,110
USA,2013,111
USA,2013,112
USA,2013,113
Japan,2013,114
Japan,2013,115
USA,2013,116
USA,2013,117
Switzerland,2013,118
USA,2013,119
USA,2013,120
Israel,2013,121
USA,2013,122
USA,2013,123
USA,2013,124
USA,2013,125
USA,2013,126
United Kingdom,2013,127
USA,2013,128
Canada,2013,129
United Kingdom,2013,130
USA,2013,131
USA,2013,132
Israel,2013,133
USA,2013,134
Japan,2013,135
France,2013,136
USA,2013,137
USA,2013,138
USA,2013,139
South Korea,2013,140
USA,2013,141
USA,2013,142
USA,2013,143
USA,2013,144
United Kingdom,2013,145
USA,2013,146
Canada,2013,147
France,2013,148
USA,2013,149
USA,2013,150
USA,2013,151
USA,2013,152
USA,2013,153
USA,2013,154
USA,2013,155
Switzerland,2013,156
Israel,2013,157
Canada,2013,158
USA,2013,159
Sweden,2013,160
USA,2013,161
Italy,2013,162
USA,2013,163
France,2013,164
USA,2013,165
Israel,2013,166
Germany,2013,167
Denmark,2013,168
USA,2013,169
Japan,2013,170
USA,2013,171
United Kingdom,2013,172
USA,2013,173
Switzerland,2013,174
United Kingdom,2013,175
USA,2013,176
USA,2013,177
USA,2013,178
Germany,2013,179
USA,2013,180
Norway,2013,181
USA,2013,182
Switzerland,2013,183
Netherlands,2013,184
USA,2013,185
France,2013,186
Singapore,2013,187
USA,2013,188
USA,2013,189
Russia,2013,190
Japan,2013,191
Australia,2013,192
USA,2013,193
USA,2013,194
Japan,2013,195
Australia,2013,196
Canada,2013,197
Finland,2013,198
France,2013,199
USA,2013,200
USA,2014,201
USA,2014,202
USA,2014,203
United Kingdom,2014,204
United Kingdom,2014,205
USA,2014,206
USA,2014,207
USA,2014,208
USA,2014,209
USA,2014,210
USA,2014,211
USA,2014,212
Japan,2014,213
USA,2014,214
USA,2014,215
Japan,2014,216
USA,2014,217
Switzerland,2014,218
USA,2014,219
USA,2014,220
USA,2014,221
Israel,2014,222
USA,2014,223
South Korea,2014,224
USA,2014,225
USA,2014,226
USA,2014,227
USA,2014,228
USA,2014,229
United Kingdom,2014,230
Canada,2014,231
USA,2014,232
USA,2014,233
Japan,2014,234
France,2014,235
France,2014,236
USA,2014,237
Israel,2014,238
United Kingdom,2014,239
Japan,2014,240
USA,2014,241
Canada,2014,242
Japan,2014,243
USA,2014,244
USA,2014,245
USA,2014,246
USA,2014,247
Russia,2014,248
USA,2014,249
France,2014,250
USA,2014,251
USA,2014,252
USA,2014,253
USA,2014,254
China,2014,255
United Kingdom,2014,256
USA,2014,257
USA,2014,258
USA,2014,259
USA,2014,260
Canada,2014,261
USA,2014,262
USA,2014,263
USA,2014,264
Taiwan,2014,265
USA,2014,266
USA,2014,267
France,2014,268
United Kingdom,2014,269
USA,2014,270
USA,2014,271
Japan,2014,272
Sweden,2014,273
Singapore,2014,274
Switzerland,2014,275
USA,2014,276
USA,2014,277
USA,2014,278
Denmark,2014,279
USA,2014,280
USA,2014,281
Germany,2014,282
USA,2014,283
USA,2014,284
Switzerland,2014,285
Israel,2014,286
China,2014,287
Netherlands,2014,288
Germany,2014,289
United Kingdom,2014,290
Italy,2014,291
Japan,2014,292
Switzerland,2014,293
Belgium,2014,294
Australia,2014,295
Japan,2014,296
Australia,2014,297
Germany,2014,298
Germany,2014,299
Sweden,2014,300
Netherlands,2014,301
USA,2014,302
Canada,2014,303
USA,2014,304
USA,2014,305
USA,2014,306
South Korea,2014,307
USA,2014,308
Israel,2014,309
Finland,2014,310
Norway,2014,311
USA,2014,312
USA,2014,313
South Africa,2014,314
Australia,2014,315
Sweden,2014,316
Netherlands,2014,317
USA,2014,318
Denmark,2014,319
Spain,2014,320
USA,2014,321
Netherlands,2014,322
United Kingdom,2014,323
Sweden,2014,324
USA,2014,325
USA,2014,326
Netherlands,2014,327
South Korea,2014,328
Netherlands,2014,329
South Korea,2014,330
Brazil,2014,331
Japan,2014,332
USA,2014,333
Canada,2014,334
Germany,2014,335
Belgium,2014,336
United Kingdom,2014,337
USA,2014,338
Belgium,2014,339
France,2014,340
Canada,2014,341
United Kingdom,2014,342
USA,2014,343
Netherlands,2014,344
USA,2014,345
United Kingdom,2014,346
United Kingdom,2014,347
Singapore,2014,348
Australia,2014,349
Japan,2014,350
United Kingdom,2014,351
Canada,2014,352
Japan,2014,353
Switzerland,2014,354
Hong Kong,2014,355
USA,2014,356
Germany,2014,357
Germany,2014,358
Germany,2014,359
Australia,2014,360
Germany,2014,361
USA,2014,362
USA,2014,363
USA,2014,364
USA,2014,365
Canada,2014,366
France,2014,367
Sweden,2014,368
Germany,2014,369
Australia,2014,370
USA,2014,371
USA,2014,372
USA,2014,373
South Korea,2014,374
USA,2014,375
France,2014,376
USA,2014,377
United Kingdom,2014,378
Germany,2014,379
USA,2014,380
Italy,2014,381
USA,2014,382
USA,2014,383
Italy,2014,384
USA,2014,385
South Korea,2014,386
Sweden,2014,387
Japan,2014,388
China,2014,389
United Kingdom,2014,390
Belgium,2014,391
USA,2014,392
USA,2014,393
Switzerland,2014,394
China,2014,395
USA,2014,396
Denmark,2014,397
Spain,2014,398
Germany,2014,399
Ireland,2014,400
Switzerland,2014,401
Hong Kong,2014,402
USA,2014,403
South Korea,2014,404
Austria,2014,405
China,2014,406
USA,2014,407
USA,2014,408
United Kingdom,2014,409
Germany,2014,410
United Kingdom,2014,411
Canada,2014,412
Germany,2014,413
United Kingdom,2014,414
Germany,2014,415
USA,2014,416
China,2014,417
USA,2014,418
Italy,2014,419
Canada,2014,420
France,2014,421
USA,2014,422
Germany,2014,423
France,2014,424
Australia,2014,425
Canada,2014,426
USA,2014,427
USA,2014,428
United Kingdom,2014,429
